pat1_1447, HYDROGEN PERMEATION PROBE, 20010001439, A1, 
pat0_707, PHOTOVOLTAIC POWER GENERATING STRUCTURE, 20010008143, A1, 
pat3_1816, Water quality meter and water quality monitoring system, 20010011642, A1, 
pat3_1815, Chemical injection system, 20010014840, A1, 
pat3_1813, Thermoformed platform, 20010029874, A1, 
pat1_1446, Back lighted display unit, 20010030878, A1, 
pat3_1812, Electroactive polymer thermal electric generators, 20010032663, A1, 
pat0_706, SOLAR CELL MODULE HAVING AN OVERVOLTAGE PREVENTIVE ELEMENT AND SUNLIGHT POWER GENERATION SYSTEM USING THE SOLAR CELL MODULE, 20010032664, A1, 
pat1_1445, Night light and accessory grill, 20010033484, A1, 
pat1_1444, Heating apparatus with slidable shroud, 20010037804, A1, 
pat1_1443, Electric vehicle with photovoltaic roof assembly, 20010039960, A1, 
pat3_1811, Apparatus and method for the measurement and monitoring of electrical power generation and transmission, 20010040446, A1, 
pat3_1810, Apparatus and method for initial charging  self-starting  and operation of a power supply with an intermittent and/or variable energy source and a rechargeable energy storage device, 20010043050, A1, 
pat3_1809, INJECTION SYSTEM AND METHOD FOR ODORIZING NATURAL GAS, 20010047621, A1, 
pat3_1808, Method and apparatus for inspection of a substrate by use of a ring illuminator, 20010054693, A1, 
pat1_1442, Linear actuation device for spacecraft and solar generator unfolding systems, 20020000496, A1, 
pat3_1807, Apparatus and method for inputting and displaying data for refrigerator, 20020003531, A1, 
pat3_1805, MONITORING SYSTEM AND IMAGING SYSTEM, 20020015094, A1, 
pat3_1804, Solar-powered refrigeration system, 20020020181, A1, 
pat3_1802, Solar-powered refrigeration system, 20020023450, A1, 
pat1_1439, Solar seeker, 20020023638, A1, 
pat3_1800, Control device for a solar protection means, 20020026250, A1, 
pat1_1438, Direct current mini air conditioning system, 20020026797, A1, 
pat3_1798, Cellular weather station and computer system using the public cellular data telephone system and internet for controlling irrigation and method of use, 20020029111, A1, 
pat3_1797, Telemetry system and method, 20020030604, A1, 
pat3_1796, Apparatus for heat treatment of portions of milk and other liquid foods for  in particular  bottle-fed infants, 20020031462, A1, 
pat2_641, Photovoltaic cell module tile, 20020036010, A1, 
pat3_1795, Tag and receiver systems, 20020036569, A1, 
pat3_1794, System and method for remote monitoring of cathodic protection systems, 20020039069, A1, 
pat1_1437, ELECTRO-OPTICAL GLAZING STRUCTURES HAVING TOTAL-REFLECTION AND TRANSPARENT MODES OF OPERATION FOR USE IN DYNAMICAL CONTROL OF ELECTROMAGNETIC RADIATION, 20020041346, A1, 
pat1_1436, Structure and method for mounting solar battery modules, 20020043031, A1, 
pat1_1435, Interactive automotive rearvision system, 20020044065, A1, 
pat1_1434, ROOF SUPPORT SYSTEM FOR A SOLAR PANEL, 20020046506, A1, 
pat1_1433, DISASTER SHELTER, 20020046515, A1, 
pat3_1792, Solar-powered light assembly with automatic light control, 20020053879, A1, 
pat1_1430, Solar battery module  replacement solar cell  and method of replacing solar cell, 20020059952, A1, 
pat1_1429, Three dimensional device integration method and integrated device, 20020064906, A1, 
pat1_1428, Self-contained obstruction marker, 20020069814, A1, 
pat3_1790, Solar powered monitor, 20020070703, A1, 
pat3_1789, "On-board" vehicle safety system, 20020070879, A1, 
pat3_1788, SOLAR BATTERY, 20020077760, A1, 
pat3_1787, Integrated anaerobic digester system, 20020079266, A1, 
pat1_1427, Central solar receiver, 20020083946, A1, 
pat1_1426, NON-ABSORPTIVE ELECTRO-0PTICAL GLAZING STRUCTURE EMPLOYING COMPOSITE INFRARED REFLECTIVE POLARIZING FILTER, 20020085151, A1, 
pat1_1424, Object specific information relaying system, 20020085515, A1, 
pat1_1423, Briefcase or carrying case with integrated loudspeaker system, 20020085730, A1, 
pat1_1422, Wireless communications hub with protocol conversion, 20020090001, A1, 
pat3_1784, High efficiency power amplifier systems and methods, 20020097085, A1, 
pat1_1421, Solar-electric powered lawnmower with electronic minimization of energy consumption, 20020100265, A1, 
pat3_1782, Power energy distribution system controlling the distribution of energy, 20020109409, A1, 
pat1_1420, Bonded vehicular glass assemblies utilizing urethane adhesive and method for making same, 20020111410, A1, 
pat1_1418, Electro-optical glazing structures having reflection and transparent modes of operation, 20020118328, A1, 
pat3_1781, Organic photosensitive optoelectronic devices with transparent electrodes, 20020119297, A1, 
pat3_1780, Self-sufficient electronic system for instant monitoring of steam traps  valves and installations, 20020124666, A1, 
pat2_638, Method and apparatus for mounting a photovoltaic roofing material, 20020129849, A1, 
pat0_705, Doped elongated semiconductors  growing such semiconductors  devices including such semiconductors and fabricating such devices, 20020130311, A1, 
pat1_1417, Method for manufacturing a semiconductor film, 20020132449, A1, 
pat3_1779, Hazardous material monitor/control method and system providing hazardous material response and control procedures integral therewith, 20020135475, A1, 
pat2_637, Apparatus and method for generating ozone, 20020139756, A1, 
pat2_636, Mounting structure and mounting method of a photovoltaic element  mounting substrate for mounting a semiconductor element and method for mounting said semiconductor element on said mounting substrate, 20020140079, A1, 
pat3_1778, Portable electronic device recharger, 20020149344, A1, 
pat3_1777, Vital signs monitoring system for animals, 20020154015, A1, 
pat1_1415, Added utility automotive glazing, 20020158490, A1, 
